Group Number,Original Response ID,Original Status,New Original Response ID,New Original Status,Duplicates Marked,Reason
34,4882fc66-dd19-497e-b506-adb329c86c4f,Pending_Approval,4882fc66-dd19-497e-b506-adb329c86c4f,Pending_Approval,0,Normal: Marked duplicates as Rejected
35,91bb860a-e6c1-4dc0-8cae-2d27d9443f4c,Rejected,22d0c053-b4d2-4eed-a64a-911a617cb920,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
36,0b40f6ef-8462-4923-bccd-b87fdda00464,Rejected,0b40f6ef-8462-4923-bccd-b87fdda00464,Rejected,0,Normal: Marked duplicates as Rejected
37,89e0e53e-91d6-403a-8bc2-b01714ad4a1a,Rejected,d36bc3d6-a6ac-40a5-a0b4-49c38f3493ca,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
38,b49dd22c-1243-40e6-9309-c87966f3f65a,Rejected,bc939945-3ed2-4e36-a659-80286fe7fa85,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
39,b6064269-8ddf-4d1d-a0d1-538de93cd2a0,Pending_Approval,b6064269-8ddf-4d1d-a0d1-538de93cd2a0,Pending_Approval,1,Normal: Marked duplicates as Rejected
40,084e9e05-53aa-443f-8ca6-52c8f207b316,Rejected,96ad0c7e-859c-4514-833b-42317684fab1,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
41,c528e037-0f66-4dd8-800d-6c9daa1ba9ee,Rejected,e9943a10-becc-4877-9e72-adbdb68544c6,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
42,ca98d3e5-a18c-412a-99f5-0e07eeb1e991,Pending_Approval,ca98d3e5-a18c-412a-99f5-0e07eeb1e991,Pending_Approval,2,Normal: Marked duplicates as Rejected
43,087e2dee-8105-480d-9803-6a044bbd2660,Pending_Approval,087e2dee-8105-480d-9803-6a044bbd2660,Pending_Approval,2,Normal: Marked duplicates as Rejected
44,a816ac53-3132-4619-a4d5-105f45b72819,Rejected,a816ac53-3132-4619-a4d5-105f45b72819,Rejected,0,Normal: Marked duplicates as Rejected
45,06ec2592-01b3-4711-bf2e-e57ccf4ff767,Rejected,a1194b70-ec82-4181-a7f6-94328593e6f4,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
46,525439d4-c72a-4c3c-a90a-13412fe3cd31,Rejected,71fcb51b-4ba8-48c1-93ef-dc74cd9250d5,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
47,2d5b6d83-fde0-4754-a80f-2d621189f41d,Pending_Approval,2d5b6d83-fde0-4754-a80f-2d621189f41d,Pending_Approval,1,Normal: Marked duplicates as Rejected
48,6437296a-0539-490a-9d5c-a4c87c1bfc95,Rejected,6c6ef065-4951-4276-bf90-4fda6639ee25,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
49,927e2b5c-6326-4ab2-8089-d863288d6c1d,Pending_Approval,927e2b5c-6326-4ab2-8089-d863288d6c1d,Pending_Approval,1,Normal: Marked duplicates as Rejected
50,f0c12be6-e9a7-4274-b8ea-5535396a28b2,Pending_Approval,f0c12be6-e9a7-4274-b8ea-5535396a28b2,Pending_Approval,2,Normal: Marked duplicates as Rejected
51,24b8fc44-d5b8-4a55-b6cf-34c837195fe2,Rejected,90f5e219-3646-4065-839f-b0e2fdd01b65,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
52,97eb157b-7ddd-459f-8c0b-0c22d27d16e6,Rejected,62bc32f1-1be4-4033-ab89-504e4f41429d,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
53,aa7c3f86-1c6f-405e-821c-f3afbe5173f4,Pending_Approval,aa7c3f86-1c6f-405e-821c-f3afbe5173f4,Pending_Approval,2,Normal: Marked duplicates as Rejected
54,c8143877-d352-452d-be2d-7f441ccdb4ab,Rejected,b5e9f1ec-35ba-488a-b93b-11edb01e2121,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
55,41c1601a-4dcd-4dd6-8e67-6d897512cc14,Rejected,34ab5ab6-acc7-4e4d-8b73-54398656bb93,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
56,f8399ac4-ec95-40ed-9c7c-a81def4f3c76,Pending_Approval,f8399ac4-ec95-40ed-9c7c-a81def4f3c76,Pending_Approval,2,Normal: Marked duplicates as Rejected
57,e553f293-4c6c-45fe-9a41-221126d5f944,Rejected,cb6091b8-8cf8-4760-8a0e-e6b649746a56,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
58,3f25fb84-f5e6-49c4-97e5-1aa913b2a870,Rejected,00a36f06-8fa9-4223-bd17-cb63f5c9bf18,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
59,c7d78106-f02c-47c8-99e0-c40ddadc1a43,Rejected,d33052b3-d4ff-4f6d-8289-16b35be25da9,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
60,83c55ef6-f6b4-47b7-af11-4c5ba5a3c288,Rejected,719e9d52-465d-4bec-9b6c-6a73f02b990a,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
61,47d00400-a409-4541-8d19-13eaa7f2eac0,Pending_Approval,47d00400-a409-4541-8d19-13eaa7f2eac0,Pending_Approval,0,Normal: Marked duplicates as Rejected
62,120e3511-6a40-4f33-998f-23d7ebb2112c,Pending_Approval,120e3511-6a40-4f33-998f-23d7ebb2112c,Pending_Approval,0,Normal: Marked duplicates as Rejected
63,2f5cfcce-953c-4920-8b0d-a79c07b57520,Rejected,e588446b-b06e-4cf1-9d04-078bbb414ae7,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
64,75503e84-0349-47c5-aa91-92cf7558c295,Rejected,f1764b20-a195-4576-8934-10d4b8476c80,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
65,5152ca78-dd5c-4315-9fc0-65a18d7a3804,Pending_Approval,5152ca78-dd5c-4315-9fc0-65a18d7a3804,Pending_Approval,1,Normal: Marked duplicates as Rejected
66,03c0902d-8370-43a7-8d67-1312122a09dc,Rejected,4df381d1-58d7-4108-b3f7-624897110f8c,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
67,b870f29e-e071-45ee-bb71-668e9acf2ef5,Rejected,c73f0887-d06a-4b63-9525-87975c8db465,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
68,4ef3bee9-bc64-40f0-8d3f-691a05ce1607,Pending_Approval,4ef3bee9-bc64-40f0-8d3f-691a05ce1607,Pending_Approval,1,Normal: Marked duplicates as Rejected
69,b503a7d8-1597-4a94-9688-494d41ab8b98,Rejected,58e8d344-7ad9-4039-a834-7962be699745,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
70,46ef7189-af38-4c04-ba58-7544fec6ad8e,Rejected,db20a671-2b93-4dae-80a8-e6a034f1b13c,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
71,0c128a4a-1b2f-41eb-8030-e3744994eb24,Rejected,2c480e9b-84c4-4d95-b702-0a2d2696f165,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
72,c1ca3bb8-f371-49a3-a30f-c189187d2d87,Rejected,af7eeb82-349c-4358-a0f5-12b1e503941c,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
73,84055b62-4831-4810-9a28-09b0f2fd56da,Rejected,92677f5a-e285-4fbb-b828-089d4183b77a,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
74,8fede718-cd80-4ef1-ae4d-e6ab7eddc8fd,Rejected,9ad16f30-40d0-4464-9d54-dc7bae3193a5,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
75,15a4e214-854e-4b97-a271-0b506c01b985,Pending_Approval,15a4e214-854e-4b97-a271-0b506c01b985,Pending_Approval,2,Normal: Marked duplicates as Rejected
76,f66c07e1-5a91-4390-b1e6-ff92cc908b8d,Rejected,165fc0ad-de8d-4263-a6ce-2ec9394e9313,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
77,a122f753-58ce-44f1-8f26-2247d5eb69f6,Pending_Approval,a122f753-58ce-44f1-8f26-2247d5eb69f6,Pending_Approval,1,Normal: Marked duplicates as Rejected
78,65320cc7-38e5-4498-8108-e78fdd822d62,Rejected,b5d7d3a5-2d9d-4342-a039-0b7e54b1bb21,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
79,e4475916-ee1a-46fb-a743-6292945828c5,Rejected,45910bf1-4bbb-49a2-918d-7079086f3dfa,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
80,1d4549cd-5fe0-4b12-8c57-425f8eccc97d,Rejected,41534cc1-e071-4306-a132-6859921d78ec,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
