Response ID,Mongo ID,Session ID,Interview Mode,Status,Abandoned Reason,Created At,Updated At,Survey ID,Interviewer ID
c7e147d2-0d72-4b81-a062-07fce0746fe0,6959265339ded85d37f54f38,6cd4d3cd-65a2-4a18-b1b1-6f3e3f56554f,cati,Pending_Approval,Call_Not_Connected,2026-01-03T14:23:15.680Z,2026-01-04T18:30:53.649Z,68fd1915d41841da463f0d46,693d4594cba171e81f4e06a5
3006a14f-fbf2-439b-be43-85b5fefb74a6,695928360bf98b047bd28a6f,d193d88b-ef79-46b2-9920-e221ea993d81,cati,Pending_Approval,Call_Not_Connected,2026-01-03T14:31:18.806Z,2026-01-04T18:30:53.649Z,68fd1915d41841da463f0d46,693d4594cba171e81f4e06a5
1bc4fc63-15c9-4e8b-9979-02a15c6c7bdd,69592898835dd5c764233640,3b47d3c0-b9ef-4565-a817-581ed855574f,cati,Pending_Approval,Call_Not_Connected,2026-01-03T14:32:56.843Z,2026-01-04T18:30:53.649Z,68fd1915d41841da463f0d46,693d4594cba171e81f4e06a5
754d82ea-5dbf-4a61-945b-f74856433401,695a1302f7ce356ff46e2800,fce8f780-b63e-4aa4-8770-4f1dc73e7754,capi,Pending_Approval,technical_issue,2026-01-04T07:13:06.512Z,2026-01-04T18:30:41.955Z,68fd1915d41841da463f0d46,69588ad6760c3ee0e61101f6
e90f9b07-6069-4736-8b43-705b458985f0,695a3ac48268caf4ffd79071,3452dfcf-f581-451e-8088-70e208ec8425,capi,Pending_Approval,technical_issue,2026-01-04T10:02:44.098Z,2026-01-04T18:30:41.955Z,68fd1915d41841da463f0d46,69588ad6760c3ee0e61101f6
17030b8f-968a-405f-892f-67f84bafa78c,695a4b825619688f36e62078,c7d7d16e-9f13-493e-bf27-9bc6111e8f72,capi,Pending_Approval,technical_issue,2026-01-04T11:14:10.660Z,2026-01-04T18:30:41.955Z,68fd1915d41841da463f0d46,69588ad6760c3ee0e61101f6
4fa67465-311d-4cd8-9653-d0ba7ed8644e,6958f555a4eb7f1f82ada700,b9e0ec5f-97c7-4a13-bc3c-ea522b510c6c,capi,Pending_Approval,technical_issue,2026-01-03T10:54:13.453Z,2026-01-04T18:30:36.546Z,68fd1915d41841da463f0d46,69540b67b05213e81641dc5b
86af84fd-2cb9-4028-b4e1-33e356733d3f,6958e1e3dbd142edc6acea72,152e0d96-2716-45e3-9d24-b665cf475b70,capi,Pending_Approval,respondent_not_available,2026-01-03T09:31:15.084Z,2026-01-04T18:30:32.041Z,68fd1915d41841da463f0d46,695430e3c61b86f0cd236fde
ceffa936-b910-41ed-96dc-344b10dea9a9,6958f559ef0b120d804b4dbe,b07d9fad-3e44-4cad-9ce2-bb07c26ed83b,capi,Pending_Approval,language_barrier,2026-01-03T10:54:17.030Z,2026-01-04T18:30:29.707Z,68fd1915d41841da463f0d46,6958a622afeb85b1034e41ff
0258eeef-fae4-4fe5-b236-a574972a319d,69590692233b4123494baf5f,2913a280-d0aa-48fe-9ecd-b580655a3d21,capi,Pending_Approval,language_barrier,2026-01-03T12:07:46.104Z,2026-01-04T18:30:29.707Z,68fd1915d41841da463f0d46,6958a622afeb85b1034e41ff
35309618-d37d-4f6b-a432-8fb87cfbb8f4,695a41bceaccbc210892172e,offline_1767522743534_53v4t2po2,capi,Pending_Approval,technical_issue,2026-01-04T10:32:28.998Z,2026-01-04T18:30:20.521Z,68fd1915d41841da463f0d46,694433b056275b9dd8337758
3b8ed82c-fecc-4d1b-b038-dcf5be5dc0aa,695a0b7cc2ab6feeca4f09b0,dad9d068-3b66-4100-b003-f47750534f19,capi,Pending_Approval,Not_Registered_Voter_In_AC,2026-01-04T06:41:00.420Z,2026-01-04T18:30:10.125Z,68fd1915d41841da463f0d46,6942c440fe90bbe7745e8da7
d80d9d69-f89f-422b-8b31-7e037c3c5837,6958be164be93bef5a10fb29,fad6240c-9b92-494a-b485-dc5bf92f8959,capi,Pending_Approval,respondent_busy,2026-01-03T06:58:30.739Z,2026-01-04T18:30:05.518Z,68fd1915d41841da463f0d46,694cf5f115d374e9c7050d96
2da6b7ce-c8e5-4c9d-b836-afbe92809796,6958c282b0d03aa3ae69fd72,4a8fbe48-87bf-4870-9a56-ce67534df7ca,capi,Pending_Approval,language_barrier,2026-01-03T07:17:22.213Z,2026-01-04T18:30:05.518Z,68fd1915d41841da463f0d46,694cf5f115d374e9c7050d96
1d6e1496-4ada-41c4-9a67-97c10a046845,6958853c3df272e841c6c2f1,5b900eaf-3b88-453b-93f6-d0aa8e61f35e,capi,Pending_Approval,location_issue,2026-01-03T02:55:56.062Z,2026-01-04T18:30:04.033Z,68fd1915d41841da463f0d46,6948b89a790d328355c13c19
bb9c0128-0c40-4abe-88f5-3a9d1774bcd5,6958e6d581588beebe7266ce,486ba5fc-07bb-4282-bd0d-5cb3e4b0a00c,capi,Pending_Approval,location_issue,2026-01-03T09:52:21.882Z,2026-01-04T18:30:04.033Z,68fd1915d41841da463f0d46,6948b89a790d328355c13c19
